evaluation,mse
0,47.41300925671116
1,26.212734479396467
4,20.179845516987218
9,17.21378047763426
54,7.947577581017569
128,7.6563592135892105
162,6.866227995818312
567,6.688025806255637
1124,6.140433701054927
2210,5.772652384147892
3690,5.753242577738008
4289,4.851024898960391
13804,2.437481367237528
