evaluation,mse
1,373.1235400427458
1,363.0863696285388
1,287.43131265954094
1,210.56389311276413
3,153.2588253009019
4,50.749974025068994
5,23.4623562439
10,18.28124995153
44,16.324130164258108
81,10.709851344215572
125,7.349606825884511
439,6.296857324997673
605,3.006698232312095
