evaluation,mse
1,51.75721334291634
1,50.65282450330237
1,41.912084823970744
1,38.26326037098998
1,19.477796973392653
6,18.290919537489998
12,9.055172263554471
128,7.350606843536169
159,5.8182527520488385
615,4.7998583380430855
1120,4.724154535472914
1584,3.8166455253951588
