0, 23.46235624
1, 18.74721007
2, 10.17631774
20, 8.03890207
50, 7.48938353
113, 6.79726871
115, 6.49205608
216, 6.0561734
274, 6.02963581
287, 5.99599755
299, 5.74246293
439, 5.71147604
448, 4.15857953
483, 4.05159093
522, 3.33273454
534, 2.82875554
583, 2.75766135
586, 2.69935103
588, 2.00247062
601, 1.87819004
608, 1.75329519
622, 0.54124531
704, 0.52150348
707, 0.42342909
708, 0.32042652
709, 0.24769909
722, 0.2470687
730, 0.24635499
739, 0.23417017
799, 0.23262055
801, 0.22853677
803, 0.2284922
867, 0.22848034
1165, 0.22834464
1198, 0.22824588
1579, 0.20937198
1587, 0.20391197
1592, 0.20278744
1748, 0.20278618
1843, 0.20228016
1851, 0.20227867
1860, 0.2022783
1916, 0.20219695
1919, 0.20219659
1921, 0.20218043
1925, 0.20217868
1927, 0.20210067
1975, 0.20209998
2427, 0.20196162
2429, 0.20192962
2435, 0.20190472
2468, 0.20187225
2513, 0.2018193
2578, 0.20179238
2663, 0.20176867
2665, 0.20174884
2672, 0.20173667
2683, 0.20173339
2704, 0.20171813
3574, 0.191727
3597, 0.19167899
3601, 0.19154089
3630, 0.18276106
3755, 0.18262167
3765, 0.18258102
3838, 0.18222398
3840, 0.18212845
3851, 0.17421979
3871, 0.17421638
3895, 0.17421559
4061, 0.17420355
4084, 0.17418857
4102, 0.17418358
4114, 0.17418063
4118, 0.17417484
4798, 0.17417378
